epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,13999.3,1.33194,0.97463,0.9763,0.58532,0.46599,0.47532,0.28703,1.27731,0.9312,0.97251,0.0001585,0.0001585,0.0001585
87,14158.4,1.32992,0.97534,0.97918,0.58993,0.46412,0.47522,0.28675,1.2772,0.93071,0.97296,0.0001486,0.0001486,0.0001486
88,14318.8,1.33479,0.97719,0.97657,0.59045,0.46619,0.4759,0.2872,1.27852,0.93152,0.97304,0.0001387,0.0001387,0.0001387
89,14479.2,1.33088,0.97203,0.97598,0.59039,0.46508,0.47576,0.28759,1.27699,0.93049,0.97242,0.0001288,0.0001288,0.0001288
90,14640.5,1.32205,0.96876,0.976,0.59109,0.46264,0.47467,0.28683,1.2773,0.9313,0.97249,0.0001189,0.0001189,0.0001189
91,14789.5,1.27349,0.89554,0.96303,0.58945,0.4595,0.47137,0.28447,1.28048,0.93528,0.97345,0.000109,0.000109,0.000109
92,14938.1,1.26436,0.88149,0.96024,0.58325,0.46107,0.47208,0.2849,1.28054,0.93481,0.97361,9.91e-05,9.91e-05,9.91e-05
93,15086.7,1.26251,0.87817,0.96018,0.58353,0.46155,0.47219,0.28514,1.28196,0.93438,0.97416,8.92e-05,8.92e-05,8.92e-05
94,15231.4,1.26139,0.8735,0.95856,0.58383,0.4619,0.47252,0.28501,1.2821,0.93356,0.97406,7.93e-05,7.93e-05,7.93e-05
95,15378,1.25952,0.86987,0.95817,0.58512,0.46307,0.47318,0.28522,1.28151,0.93262,0.97375,6.94e-05,6.94e-05,6.94e-05
96,15525.5,1.25713,0.86939,0.95841,0.58199,0.46605,0.47407,0.28595,1.28162,0.93215,0.97373,5.95e-05,5.95e-05,5.95e-05
97,15672.9,1.25431,0.86439,0.95857,0.58307,0.46615,0.47449,0.28641,1.28168,0.93155,0.97402,4.96e-05,4.96e-05,4.96e-05
98,15819.6,1.25749,0.865,0.95713,0.58175,0.46616,0.47468,0.28648,1.28142,0.93092,0.9741,3.97e-05,3.97e-05,3.97e-05
99,15967.2,1.25616,0.86546,0.95619,0.57747,0.46747,0.47392,0.28583,1.28145,0.93125,0.97421,2.98e-05,2.98e-05,2.98e-05
100,16113.6,1.2512,0.86323,0.9564,0.5754,0.46925,0.474,0.28601,1.28163,0.93134,0.97428,1.99e-05,1.99e-05,1.99e-05
